股票代码,企业名称,数字技术应用,人工智能技术,区块链技术,大数据技术,云计算技术,总词频数,数字化转型指数
300610,扬州晨化新材料股份有限公司,0,0,0,0,0,0,-0.220801475
300581,西安晨曦航空科技股份有限公司,0,1,0,0,0,1,-0.183250616
002324,上海普利特复合材料股份有限公司,0,1,0,0,0,1,-0.183250616
300275,重庆梅安森科技股份有限公司,0,21,0,0,0,21,0.567766564
300653,烟台正海生物科技股份有限公司,0,0,0,0,0,0,-0.220801475
300371,汇中仪表股份有限公司,0,5,0,1,0,6,0.133284426
300007,汉威科技集团股份有限公司,6,11,0,1,0,18,0.471746971
002226,安徽江南化工股份有限公司,1,0,0,0,0,1,-0.20194191
300669,杭州沪宁电梯部件股份有限公司,0,0,0,0,0,0,-0.220801475
002927,贵州泰永长征技术股份有限公司,3,3,0,0,0,6,-0.051570203
002522,浙江众成包装材料股份有限公司,0,0,0,0,0,0,-0.220801475
300833,广州市浩洋电子股份有限公司,0,0,0,2,0,2,0.111861738
300065,北京海兰信数据科技股份有限公司,0,3,0,0,0,3,-0.108148898
300481,濮阳惠成电子材料股份有限公司,0,0,0,0,0,0,-0.220801475
300588,新疆熙菱信息技术股份有限公司,0,11,0,1,0,12,0.358589581
300753,江苏爱朋医疗科技股份有限公司,0,7,0,1,0,8,0.208386144
300884,厦门狄耐克智能科技股份有限公司,240,119,0,4,0,363,9.439372773
002997,瑞鹄汽车模具股份有限公司,0,3,0,0,0,3,-0.108148898
300853,杭州申昊科技股份有限公司,0,45,0,1,0,46,1.635318787
300693,深圳市盛弘电气股份有限公司,0,2,0,0,0,2,-0.145699757
300479,神思电子技术股份有限公司,1,47,0,0,0,48,1.562948464
002892,科力尔电机集团股份有限公司,27,8,0,0,0,35,0.588813652
002972,深圳科安达电子科技股份有限公司,0,8,0,0,0,8,0.079605397
300903,广东科翔电子科技股份有限公司,0,5,0,0,0,5,-0.03304718
002380,南京科远智慧科技集团股份有限公司,0,9,0,1,0,10,0.283487863
300428,立中四通轻合金集团股份有限公司,0,0,0,0,0,0,-0.220801475
002809,广东红墙新材料股份有限公司,1,0,0,0,0,1,-0.20194191
300427,红相股份有限公司,0,0,0,0,0,0,-0.220801475
300190,维尔利环保科技集团股份有限公司,0,0,0,0,0,0,-0.220801475
300611,浙江美力科技股份有限公司,0,0,0,0,0,0,-0.220801475
300848,美瑞新材料股份有限公司,0,0,0,0,0,0,-0.220801475
300586,广东美联新材料股份有限公司,0,0,0,1,0,1,-0.054469869
300818,江西耐普矿机股份有限公司,0,0,0,0,0,0,-0.220801475
300053,珠海航宇微科技股份有限公司,0,89,0,0,0,89,3.121224978
300816,安徽艾可蓝环保股份有限公司,0,1,0,0,0,1,-0.183250616
300685,厦门艾德生物医药科技股份有限公司,0,0,0,0,0,0,-0.220801475
002983,安徽芯瑞达科技股份有限公司,1,2,0,0,0,3,-0.126840192
300401,浙江花园生物医药股份有限公司,0,0,0,0,0,0,-0.220801475
300416,苏州苏试试验集团股份有限公司,0,2,0,0,0,2,-0.145699757
300820,四川英杰电气股份有限公司,0,0,0,0,0,0,-0.220801475
